23:4:35;217
23:5:6;59
23:5:36;813
23:6:6;512
23:6:37;541
23:7:8;712
23:7:38;902
23:8:9;445
23:8:40;564
23:9:10;201
23:9:40;544
23:10:11;261
23:10:41;55
23:11:11;375
23:11:42;709
23:12:12;52
23:12:42;725
23:13:13;693
23:13:44;619
23:14:14;52
23:14:44;62
23:15:15;1610
23:15:46;350
23:16:16;1129
23:16:48;2378
23:17:20;3137
23:17:53;2339
23:18:25;59
23:18:56;1506
23:19:27;981
23:19:58;355
23:20:28;1040
23:20:59;70
23:21:29;719
23:22:0;2120
23:22:32;2349
23:23:5;99
23:23:35;1025
23:24:6;401
23:24:36;82
23:25:6;155
23:25:36;157
23:26:7;369
23:26:37;717
23:27:8;63
23:27:38;298
23:28:8;355
23:28:38;3606
23:29:12;62
23:29:42;54
23:30:12;1888
23:30:44;49
23:31:14;89
23:31:44;661
23:32:15;378
23:32:45;105
23:33:15;69
23:33:45;59
23:34:15;351
23:34:46;209
23:35:16;60
23:35:46;59
23:36:16;384
23:36:47;58
23:37:17;57
23:37:47;60
23:38:17;373
23:38:47;51
23:39:17;58
23:39:47;64
23:40:17;357
23:40:48;578
23:41:18;995
23:41:49;82
23:42:19;863
23:42:50;57
23:43:20;53
23:43:50;201
23:44:21;407
23:44:51;87
23:45:21;123
23:45:51;72
23:46:21;429
23:46:52;53
23:47:22;205
23:47:52;73
23:48:22;387
23:48:52;594
23:49:23;67
23:49:53;617
23:50:24;373
23:50:54;77
23:51:24;66
23:51:54;54
23:52:24;372
23:52:55;77
23:53:25;99
23:53:55;128
23:54:25;372
23:54:55;141
23:55:25;62
23:55:55;143
23:56:26;385
23:56:56;98
23:57:26;61
23:57:56;100
23:58:26;677
23:58:57;182
23:59:27;523
23:59:58;446
0:0:28;412
0:0:59;990
0:1:30;59
0:2:0;61
0:2:30;366
0:3:0;71
0:3:30;89
0:4:0;140
0:4:30;363
0:5:1;90
0:5:31;77
0:6:1;52
0:6:31;374
0:7:1;78
0:7:31;59
0:8:1;58
0:8:31;363
0:9:2;192
0:9:32;165
0:10:2;78
0:10:32;393
0:11:3;51
0:11:33;69
0:12:3;518
0:12:33;368
0:13:4;65
0:13:34;69
0:14:4;61
0:14:34;371
0:15:4;62
0:15:34;56
0:16:4;75
0:16:34;358
0:17:5;85
0:17:35;91
0:18:5;52
0:18:35;360
0:19:5;54
0:19:35;135
0:20:6;60
0:20:36;354
0:21:6;102
0:21:36;64
0:22:6;98
0:22:36;351
0:23:7;68
0:23:37;73
0:24:7;139
0:24:37;371
0:25:7;48
0:25:37;71
0:26:7;64
0:26:37;416
0:27:8;54
0:27:38;88
0:28:8;63
0:28:38;502
0:29:9;60
0:29:39;61
0:30:9;422
0:30:39;364
0:31:10;56
0:31:40;137
0:32:10;54
0:32:40;361
0:33:10;51
0:33:40;123
0:34:10;53
0:34:40;361
0:35:11;61
0:35:41;55
0:36:11;170
0:36:41;354
0:37:46;141
0:38:16;74
0:38:46;355
0:39:17;61
0:39:47;62
0:40:17;122
0:40:47;475
0:41:18;50
0:41:48;108
0:42:18;81
0:42:48;390
0:43:18;56
0:43:48;65
0:44:18;64
0:44:48;407
0:45:19;54
0:45:49;58
0:46:19;57
0:46:49;368
0:47:19;70
0:47:49;68
0:48:19;54
0:48:49;372
0:49:20;58
0:49:50;87
0:50:55;460
0:51:25;191
0:51:55;55
0:52:25;50
0:52:56;361
0:53:26;62
0:53:56;71
0:54:26;97
0:54:56;376
0:55:27;111
0:55:57;85
0:56:27;75
0:56:57;377
0:57:27;103
0:57:57;68
0:58:27;85
0:58:57;360
0:59:28;123
0:59:58;80
1:0:28;73
1:0:58;377
1:1:28;66
1:1:59;96
1:2:29;94
1:2:59;355
1:3:29;88
1:3:59;79
1:4:29;90
1:4:59;395
1:5:30;123
1:6:0;104
1:6:30;71
1:7:0;364
1:7:30;60
1:8:0;105
1:8:31;183
1:9:1;442
1:9:31;67
1:10:1;98
1:10:31;75
1:11:1;376
1:11:32;85
1:12:2;60
1:12:32;83
1:13:2;384
1:13:32;67
1:14:3;58
1:14:33;54
1:15:3;472
1:15:33;62
1:16:3;68
1:16:33;57
1:17:3;360
1:17:34;84
1:18:4;62
1:18:34;54
1:19:4;411
1:19:34;60
1:20:4;81
1:20:34;128
1:21:5;354
1:21:35;90
1:22:5;57
1:22:35;56
1:23:5;355
1:23:35;56
1:24:6;63
1:24:36;108
1:25:6;387
1:25:36;49
1:26:6;86
1:26:36;53
1:27:6;386
1:27:37;93
1:28:7;87
1:28:37;113
1:29:7;398
1:29:37;125
1:30:7;71
1:30:38;100
1:31:8;398
1:31:38;63
1:32:8;99
1:32:38;79
1:33:8;396
1:33:39;82
1:34:9;94
1:34:39;106
1:35:9;469
1:35:39;129
1:36:10;76
1:36:40;50
1:37:10;599
1:37:40;76
1:38:10;76
1:38:40;92
1:39:11;385
1:39:41;87
1:40:11;83
1:40:41;94
1:41:11;379
1:41:42;75
1:42:12;88
1:42:42;91
1:43:12;359
1:43:42;63
1:44:12;68
1:44:42;49
1:45:12;390
1:45:43;53
1:46:13;84
1:46:43;87
1:47:13;355
1:47:43;65
1:48:13;64
1:48:44;60
1:49:14;360
1:49:44;53
1:50:14;56
1:50:44;51
1:51:14;377
1:51:44;144
1:52:15;79
1:52:45;75
1:53:15;652
1:53:45;67
1:54:15;90
1:54:46;78
1:55:16;428
1:55:46;99
1:56:16;105
1:56:46;67
1:57:16;684
1:57:47;64
1:58:17;86
1:58:47;77
1:59:17;392
1:59:48;77
2:0:18;87
2:0:48;66
2:1:18;721
2:1:49;59
2:2:19;239
2:2:49;79
2:3:19;359
2:3:49;155
2:4:20;86
2:4:50;82
2:5:20;536
2:5:50;103
2:6:20;130
2:6:50;90
2:7:21;397
2:7:51;65
2:8:21;83
2:8:51;77
2:9:21;422
2:9:52;95
2:10:22;84
