23:40:8;275
23:40:38;64
23:41:8;397
23:41:38;52
23:42:9;64
23:42:39;83
23:43:9;391
23:43:39;102
23:44:9;57
23:44:39;50
23:45:9;393
23:45:40;170
23:46:10;59
23:46:40;55
23:47:10;407
23:47:40;64
23:48:10;64
23:48:41;75
23:49:11;591
23:49:41;61
23:50:11;81
23:50:41;77
23:51:11;392
23:51:42;55
23:52:12;186
23:52:42;204
23:53:12;425
23:53:43;76
23:54:13;61
23:54:43;97
23:55:13;391
23:55:43;62
23:56:13;589
23:56:44;515
23:57:14;441
23:57:45;54
23:58:15;73
23:58:45;60
23:59:15;401
23:59:46;49
0:0:16;85
0:0:46;64
0:1:16;416
0:1:46;61
0:2:16;59
0:2:46;69
0:3:16;419
0:3:47;54
0:4:17;53
0:4:47;55
0:5:17;418
0:5:47;105
0:6:17;111
0:6:48;56
0:7:18;425
0:7:48;123
0:8:18;74
0:8:48;82
0:9:18;537
0:9:49;60
0:10:19;64
0:10:49;82
0:11:19;410
0:11:50;74
0:12:20;79
0:12:50;49
0:13:20;391
0:13:50;66
0:14:20;78
0:14:50;82
0:15:20;409
0:15:51;54
0:16:21;107
0:16:51;151
0:17:21;390
0:17:52;112
0:18:22;86
0:18:52;68
0:19:22;461
0:19:52;52
0:20:22;100
0:20:52;52
0:21:22;396
0:21:53;51
0:22:23;64
0:22:53;70
0:23:23;389
0:23:53;54
0:24:23;72
0:24:54;252
0:25:24;398
0:25:54;54
0:26:24;62
0:26:54;98
0:27:24;400
0:27:55;179
0:28:25;73
0:28:55;77
0:29:25;404
0:29:56;53
0:30:26;66
0:30:56;58
0:31:26;409
0:31:56;108
0:32:26;78
0:32:56;50
0:33:26;401
0:33:57;118
0:34:27;60
0:34:57;109
0:35:27;392
0:35:58;121
0:36:28;65
0:36:58;60
0:37:28;407
0:37:58;75
0:38:28;63
0:38:58;52
0:39:28;417
0:39:59;77
0:40:29;57
0:40:59;75
0:41:29;406
0:41:59;102
0:42:30;71
0:43:0;55
0:43:30;466
0:44:0;55
0:44:30;61
0:45:0;61
0:45:30;406
0:46:1;70
0:46:31;93
0:47:1;75
0:47:31;399
0:48:1;59
0:48:31;64
0:49:2;117
0:49:32;396
0:50:2;91
0:50:32;58
0:51:2;57
0:51:32;421
0:52:3;74
0:52:33;164
0:53:3;58
0:53:33;414
0:54:3;57
